,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id
20170102T111442_20170102T111441_T30TWT,5184.795419847331,24.083969465648867,3649.787786259543,2509.145038167939,4827.390839694657,4223.540458015268,4512.842748091603,4501.691603053437,4774.500763358781,4999.738931297712,4617.887022900764,5136.662595419849,1128.6137404580159,0.0,0.0,1024.0,2017-01-02,MIE,6139251
20170112T111421_20170112T111418_T30TWT,5589.508396946566,766.3603053435115,1686.549618320611,1800.221374045802,4956.850381679391,4426.496183206108,4781.425954198475,4958.419847328246,5196.320610687024,5393.555725190841,4846.832061068703,5492.287022900765,3181.1358778625963,0.0,0.0,1024.0,2017-01-12,MIE,6139251
20170201T111301_20170201T111255_T30TWT,5253.230534351147,73.80458015267178,1699.0809160305348,1133.8183206106871,4464.3557251908405,3864.1694656488557,4000.3312977099254,3988.9480916030548,4142.974045801528,4354.896183206109,3804.203053435115,4430.158778625955,1603.441221374046,0.0,0.0,1024.0,2017-02-01,MIE,6139251
20170211T111201_20170211T111640_T30TWT,5521.416793893131,331.7496183206108,3339.390839694657,2384.096183206107,4996.412213740458,4324.270229007635,4621.435114503817,4863.2290076335885,5000.497709923665,5157.630534351147,5039.154198473284,5195.413740458017,3659.17251908397,0.0,0.0,1024.0,2017-02-11,MIE,6139251
20170221T111051_20170221T111235_T30TWT,4189.9969465648865,57.09160305343512,3362.2473282442756,2578.2152671755734,3868.2870229007635,3413.178625954199,3486.3129770992377,3651.404580152673,4210.441221374047,4468.572519083971,4328.053435114505,4606.059541984734,1885.2839694656495,0.0,0.0,1024.0,2017-02-21,MIE,6139251
20170303T110941_20170303T111724_T30TWT,5515.210687022903,429.9908396946566,4684.019847328245,3916.1389312977117,5395.27328244275,5016.6702290076355,5368.3770992366435,5449.728244274811,5974.180152671757,6340.258015267177,5983.120610687024,6519.738931297712,2130.0061068702294,0.0,0.0,1024.0,2017-03-03,MIE,6139251
20170313T110831_20170313T111212_T30TWT,1390.058015267176,88.09312977099238,1756.7267175572522,946.4152671755728,1035.2732824427485,949.4122137404582,780.0717557251911,1204.7511450381683,2381.958778625955,2899.3648854961843,2725.2977099236646,3208.0854961832074,1259.6900763358783,0.0,0.0,2048.0,2017-03-13,MIE,6139251
20170323T110721_20170323T111323_T30TWT,6403.047328244275,1245.6793893129773,4296.766412213741,3733.9343511450397,6074.882442748094,5612.5221374045805,6068.992366412215,6370.131297709924,6736.903816793894,7009.636641221376,6855.546564885498,7151.806106870231,5300.470229007636,0.0,0.0,1024.0,2017-03-23,MIE,6139251
20170402T110651_20170402T110647_T30TWT,1399.3374045801531,14.138931297709926,685.4641221374047,326.4488549618321,1008.7801526717559,744.2412213740461,508.22595419847346,642.5038167938934,1181.1587786259545,1480.549618320611,1422.2625954198477,1584.0061068702296,557.822900763359,0.0,0.0,1024.0,2017-04-02,MIE,6139251
20170412T110621_20170412T111708_T30TWT,1248.6442748091606,10.987786259541988,2673.705343511451,1658.456488549619,1074.0977099236645,1054.1755725190842,938.8793893129773,1384.8229007633593,2455.653435114504,2895.2381679389323,2903.7404580152674,3295.6396946564896,1311.1923664122141,0.0,0.0,0.0,2017-04-12,MIE,6139251
20170422T110651_20170422T111300_T30TWT,1433.2412213740463,126.38015267175577,2744.8427480916034,1753.6320610687026,1280.3099236641224,1239.8076335877865,1162.4091603053441,1572.561832061069,2729.123664122138,3277.2045801526724,3267.454961832062,3636.9267175572527,1604.7618320610695,0.0,0.0,2048.0,2017-04-22,MIE,6139251
20170502T110621_20170502T110937_T30TWT,2790.287022900764,184.15725190839697,2813.654961832062,2026.4259541984738,2629.5496183206114,2361.7954198473285,2284.934351145039,2631.6198473282448,3632.1465648854964,4134.65038167939,4181.969465648856,4413.323664122139,2012.1954198473288,0.0,0.0,1024.0,2017-05-02,MIE,6139251
20170512T110651_20170512T111302_T30TWT,2684.5694656488554,44.64427480916032,2594.6473282442753,2010.4916030534355,2067.349618320611,1992.9526717557258,2026.0809160305348,2266.7603053435123,3177.5893129771002,3720.813740458016,3044.375572519085,3986.1282442748106,1102.5190839694658,0.0,0.0,1024.0,2017-05-12,MIE,6139251
20170522T110621_20170522T110912_T30TWT,1290.0625954198479,25.683969465648865,2903.464122137405,1990.0549618320617,1205.1374045801529,1206.8061068702293,1240.0183206106874,1490.1541984732828,2430.4748091603055,2969.680916030535,2841.584732824428,3336.909923664123,953.561832061069,0.0,0.0,0.0,2017-05-22,MIE,6139251
20170601T110651_20170601T111225_T30TWT,1129.7633587786265,16.25496183206107,490.72061068702305,285.23664122137416,822.4793893129774,589.4687022900764,406.7816793893131,433.45648854961837,639.520610687023,758.9526717557253,684.9633587786261,794.519083969466,215.94198473282447,0.0,0.0,0.0,2017-06-01,MIE,6139251
20170611T110621_20170611T111012_T30TWT,5966.51145038168,21.702290076335885,5077.253435114504,3570.2992366412223,5946.905343511452,5624.374045801527,5782.329770992368,5778.673282442751,6292.729770992368,6715.783206106872,6630.543511450384,6917.1618320610705,2286.7770992366413,0.0,0.0,1024.0,2017-06-11,MIE,6139251
20170621T110651_20170621T111222_T30TWT,1327.9801526717558,12.0,2783.2244274809173,1665.341984732825,1111.9206106870233,1074.0396946564888,1034.941984732825,1262.2671755725196,2339.1709923664125,2936.7419847328256,2838.516030534352,3253.935877862596,926.7938931297714,0.0,0.0,0.0,2017-06-21,MIE,6139251
20170701T111051_20170701T111746_T30TWT,4220.926717557253,18.018320610687027,3962.4824427480935,2939.8381679389317,3845.7603053435128,3610.4900763358783,3756.3435114503827,3820.4595419847346,4485.650381679391,4994.309923664122,4548.9786259542,5238.241221374047,1215.0366412213746,0.0,0.0,1024.0,2017-07-01,MIE,6139251
20170706T110619_20170706T110942_T30TWT,5540.276335877864,19.29618320610687,6204.874809160307,4483.80610687023,5676.019847328245,5463.816793893131,5898.9801526717565,5702.859541984734,6152.242748091604,6782.183206106871,6561.929770992367,7069.186259541987,1258.378625954199,0.0,0.0,1024.0,2017-07-06,MIE,6139251
20170711T110651_20170711T111223_T30TWT,4950.83969465649,146.63969465648856,3019.1435114503815,2503.059541984733,4435.49007633588,4201.538931297711,4417.074809160305,4472.954198473283,5000.1175572519105,5441.505343511452,4917.134351145039,5661.732824427483,2005.3114503816796,0.0,0.0,1024.0,2017-07-11,MIE,6139251
20170716T110649_20170716T111603_T30TWT,1253.3038167938935,11.375572519083974,2163.905343511451,1208.5221374045807,910.0305343511453,813.4824427480918,668.3404580152672,847.4503816793896,2123.140458015268,2950.248854961833,2880.3633587786267,3358.7893129771005,523.5770992366414,0.0,0.0,0.0,2017-07-16,MIE,6139251
20170721T110621_20170721T110758_T30TWT,4751.297709923665,26.40610687022901,4827.566412213742,4037.418320610688,4765.60610687023,4451.955725190841,4650.015267175574,4742.145038167941,5214.5664122137405,5595.586259541987,5499.299236641224,5754.236641221376,2117.283969465649,0.0,0.0,1024.0,2017-07-21,MIE,6139251
20170726T110619_20170726T111744_T30TWT,8300.050381679392,176.40916030534356,4842.445801526719,3049.9816793893137,8355.316030534354,7866.943511450384,8234.419847328249,7865.613740458017,8080.653435114509,8599.254961832063,8157.848854961834,8684.448854961835,3002.0732824427487,0.0,0.0,1024.0,2017-07-26,MIE,6139251
20170731T110651_20170731T111220_T30TWT,2038.483969465649,304.04122137404585,2140.957251908398,1544.022900763359,1781.4610687022905,1576.5770992366417,1451.792366412214,1640.7969465648857,2459.4625954198486,2952.990839694658,2791.326717557253,3131.1694656488557,1167.4305343511455,0.0,0.0,2048.0,2017-07-31,MIE,6139251
20170805T110649_20170805T111706_T30TWT,1401.4122137404586,16.424427480916034,2273.8000000000006,1110.537404580153,1014.0916030534353,923.8870229007636,663.2244274809162,951.0091603053438,2806.716030534352,3968.786259541986,3840.1923664122146,4244.0519083969475,1101.0442748091605,0.0,0.0,0.0,2017-08-05,MIE,6139251
20170815T110619_20170815T110935_T30TWT,2938.593893129772,392.50992366412225,2640.7694656488557,1947.8076335877868,2558.401526717558,2310.4305343511455,2233.6213740458015,2353.1893129770997,3190.3404580152674,3786.2946564885506,3535.590839694657,4032.5282442748103,1221.569465648855,0.0,0.0,1024.0,2017-08-15,MIE,6139251
20170820T110651_20170820T111220_T30TWT,3395.1435114503824,16.17557251908397,3508.883969465649,2365.6854961832064,3274.8488549618323,3104.296183206108,3088.31145038168,3287.4564885496184,4288.774045801528,4887.285496183207,4590.90534351145,5125.122137404582,1344.4900763358785,0.0,0.0,1024.0,2017-08-20,MIE,6139251
20170825T110649_20170825T111247_T30TWT,2039.0015267175584,50.71603053435116,1653.8000000000004,891.73893129771,1608.5465648854963,1380.429007633588,1158.1129770992368,1288.1053435114507,2284.5572519083976,2972.3099236641237,2666.941984732825,3236.1297709923674,631.5206106870231,0.0,0.0,0.0,2017-08-25,MIE,6139251
20170830T110621_20170830T110910_T30TWT,7619.606106870229,171.06259541984738,1704.125190839695,1230.7572519083972,7183.893129770993,6649.4000000000015,6903.258015267178,6823.54045801527,6966.363358778627,7204.908396946566,6691.528244274811,7216.613740458016,3238.3236641221383,0.0,0.0,1024.0,2017-08-30,MIE,6139251
20170909T110651_20170909T111217_T30TWT,1503.3312977099242,18.508396946564886,2403.65038167939,1393.3633587786262,1275.0488549618324,1188.604580152672,1095.0183206106874,1426.7312977099239,2354.7068702290085,2731.548091603054,2872.1938931297714,3073.722137404581,1083.9465648854962,0.0,0.0,0.0,2017-09-09,MIE,6139251
20170914T110639_20170914T111307_T30TWT,1975.995419847329,24.961832061068705,2723.461068702291,1933.7709923664127,1599.6381679389317,1496.3236641221379,1475.0503816793898,1847.7709923664127,2785.42290076336,3280.57251908397,3025.247328244275,3625.103816793893,1203.853435114504,0.0,0.0,0.0,2017-09-14,MIE,6139251
20170919T110721_20170919T110917_T30TWT,1358.3526717557252,82.43206106870231,1640.1603053435122,1029.7557251908402,1115.5572519083973,968.3511450381683,876.5801526717561,1085.865648854962,1578.7587786259546,1795.654961832061,1793.8167938931297,1986.5511450381687,734.8106870229009,0.0,0.0,0.0,2017-09-19,MIE,6139251
20170924T110749_20170924T111106_T30TWT,7199.413740458015,113.42442748091605,4866.099236641222,3122.7267175572524,6940.380152671759,6572.470229007635,7040.894656488552,6864.253435114505,7141.262595419848,7667.766412213743,6930.297709923668,7846.404580152674,2397.0122137404587,0.0,0.0,1024.0,2017-09-24,MIE,6139251
20170929T110841_20170929T111602_T30TWT,3695.5450381679398,433.87175572519095,3261.9343511450393,2738.3435114503823,3377.3984732824433,3138.184732824428,3157.0000000000014,3345.184732824428,4075.2641221374056,4478.262595419848,4202.856488549619,4715.0183206106885,1731.1603053435117,0.0,0.0,1024.0,2017-09-29,MIE,6139251
20171004T110859_20171004T110858_T30TWT,1259.5770992366415,13.842748091603054,2201.65038167939,1391.4442748091608,1007.5480916030536,923.4458015267178,818.6152671755729,1124.537404580153,1696.5954198473287,1927.041221374046,1934.8473282442753,2174.3435114503823,1012.925190839695,0.0,0.0,0.0,2017-10-04,MIE,6139251
20171019T111051_20171019T111235_T30TWT,2679.00610687023,795.483969465649,2057.9206106870233,1579.610687022901,2444.735877862596,2209.013740458016,1990.0580152671766,2318.635114503817,3207.442748091604,3581.265648854963,3481.6793893129784,3810.8641221374055,1708.5954198473287,0.0,0.0,1024.0,2017-10-19,MIE,6139251
20171024T111109_20171024T111311_T30TWT,6435.143511450383,360.52824427480925,5678.923664122139,4158.384732824428,6666.989312977102,6296.030534351146,6717.792366412215,6570.204580152674,6878.070229007636,7334.311450381682,7007.7526717557275,7505.207633587788,1837.7755725190843,0.0,0.0,1024.0,2017-10-24,MIE,6139251
20171029T111201_20171029T111156_T30TWT,4979.708396946567,19.854961832061072,3096.784732824428,1943.981679389313,4608.082442748093,4114.7587786259555,4204.06717557252,4213.641221374047,4486.401526717558,4720.416793893131,4391.590839694658,4815.8748091603065,1403.7358778625958,0.0,0.0,1024.0,2017-10-29,MIE,6139251
20171103T111209_20171103T111458_T30TWT,4064.290076335879,1022.8732824427482,2330.358778625955,2025.2106870229018,4019.5725190839717,3578.5312977099247,3617.2992366412227,3696.9938931297715,4051.6641221374043,4261.358778625955,4275.793893129772,4354.143511450383,2422.109923664123,0.0,0.0,1024.0,2017-11-03,MIE,6139251
20171108T111251_20171108T111250_T30TWT,1400.435114503817,13.108396946564886,1538.664122137405,660.8274809160306,1050.6320610687028,998.15572519084,502.047328244275,1185.6717557251911,3466.758778625955,4117.470229007635,3961.290076335879,4351.899236641222,1236.9679389312978,0.0,0.0,0.0,2017-11-08,MIE,6139251
20171113T111309_20171113T111303_T30TWT,1386.8229007633588,13.308396946564887,1541.4274809160306,634.163358778626,1039.55572519084,976.8106870229012,488.13893129771003,1106.8748091603054,3461.0488549618335,4300.027480916032,4154.305343511452,4574.287022900765,1289.3664122137407,0.0,0.0,0.0,2017-11-13,MIE,6139251
20171118T111341_20171118T111633_T30TWT,4176.024427480917,673.3374045801528,4129.813740458017,3600.227480916032,3959.2793893129774,3652.7908396946573,3791.141984732825,4042.3786259542,4743.687022900764,5126.003053435115,4822.160305343512,5317.587786259544,1970.925190839695,0.0,0.0,1024.0,2017-11-18,MIE,6139251
20171123T111349_20171123T111629_T30TWT,5203.974045801528,24.89465648854963,2092.0,1157.9541984732828,5250.835114503819,4726.068702290077,4932.841221374048,4885.390839694657,4976.0137404580155,5118.639694656489,5015.183206106871,5060.890076335879,1448.537404580153,0.0,0.0,1024.0,2017-11-23,MIE,6139251
20171128T111411_20171128T111412_T30TWT,1514.7954198473287,16.01221374045802,1621.7587786259544,721.0977099236643,1137.7740458015269,1030.3328244274815,563.9587786259543,1198.3832061068704,3776.7786259542,4794.714503816795,4541.66717557252,5039.577099236642,1069.190839694657,0.0,0.0,0.0,2017-11-28,MIE,6139251
20171208T111441_20171208T111549_T30TWT,1588.4977099236646,18.206106870229007,1541.3725190839696,702.1175572519086,1184.331297709924,1033.4335877862597,593.720610687023,1216.7496183206108,3658.8152671755734,4628.491603053437,4442.801526717559,4876.969465648856,1364.076335877863,0.0,0.0,0.0,2017-12-08,MIE,6139251
20171213T111439_20171213T111601_T30TWT,5157.665648854964,1030.1435114503822,2780.8946564885505,2028.1511450381686,4997.065648854963,4437.941984732825,4647.687022900764,4753.977099236642,4973.340458015267,5146.386259541985,4990.503816793895,5206.476335877865,2731.7496183206113,0.0,0.0,1024.0,2017-12-13,MIE,6139251
20171218T111451_20171218T111449_T30TWT,1812.296183206107,105.70076335877866,459.7755725190841,285.2778625954199,1348.566412213741,967.8198473282446,646.4488549618321,735.5419847328247,1329.9786259541988,1575.545038167939,1414.2671755725196,1535.403053435115,391.36793893129783,0.0,0.0,2048.0,2017-12-18,MIE,6139251
20171223T111449_20171223T111445_T30TWT,4308.232061068703,18.78167938931298,3305.7541984732834,2299.003053435115,4080.5969465648864,3565.7648854961844,3672.9755725190844,3747.854961832062,4103.174045801529,4327.679389312978,4170.596946564887,4443.192366412214,1357.2595419847332,0.0,0.0,1024.0,2017-12-23,MIE,6139251
20171228T111451_20171228T111528_T30TWT,1590.6442748091606,12.52366412213741,1491.845801526718,637.761832061069,1178.4610687022903,1008.0961832061072,552.1190839694657,1174.137404580153,3931.7206106870244,5120.31755725191,4822.10076335878,5399.903816793895,1271.112977099237,0.0,0.0,0.0,2017-12-28,MIE,6139251
