,epoch,iteration,mode,accuracy,kappa,loss,mean_accuracy,mean_f1,mean_precision,mean_recall
0,1,,train,0.6119844997497492,0.5303573218985156,1.0761248,0.4083072991393614,0.4119993959011594,0.4559938267095447,0.4083072991393614
1,2,,train,0.6764180696374751,0.6114671154856914,0.8837806,0.4981600154287179,0.5026718483465555,0.5324078208509249,0.4981600154287179
2,3,,train,0.6872782985568506,0.6251817973429483,0.8503564,0.5180150185428397,0.5255413811321746,0.553037365647547,0.5180150185428397
3,4,,train,0.6952994376460252,0.6352532256332969,0.8286466,0.5335543927892862,0.542095405698341,0.581166388460579,0.5335543927892862
4,5,,train,0.7002388856954895,0.6413937479503677,0.81279147,0.5425946923288746,0.5518869183465178,0.5782018549305209,0.5425946923288746
5,5,,test,0.6756194574338862,0.6154332366823525,0.9493469,0.5502579587805079,0.5442170065423191,0.5606734884869948,0.5502579587805079
6,6,,train,0.7041270618370813,0.6462841913494471,0.80047065,0.5504121361288995,0.5595520638347803,0.634717286345009,0.5504121361288995
7,7,,train,0.7074753956476032,0.6504187366716202,0.7902949,0.5575231733899567,0.5669265830802167,0.5950622078429428,0.5575231733899567
8,8,,train,0.709966975637156,0.6534921846450448,0.7822495,0.560504154904885,0.5702929729765065,0.6081778922780727,0.560504154904885
9,9,,train,0.7118968573308184,0.6559112915135406,0.77539957,0.5647605724290159,0.5747989669010556,0.6092338305785898,0.5647605724290159
10,10,,train,0.7139884731641536,0.6584944315293156,0.7695169,0.5691155258483942,0.5790709970222095,0.6205261279362517,0.5691155258483942
11,10,,test,0.6812245448843653,0.6226241646345274,1.0002259,0.5560802778701939,0.5463831292635667,0.5610324428759849,0.5560802778701939
12,11,,train,0.7164275988381369,0.6614621638900283,0.76465106,0.572518199567084,0.582276723268682,0.6697881290174561,0.572518199567084
13,12,,train,0.7172362695365005,0.6624649604939502,0.75966597,0.5740069449886716,0.584407382419434,0.7119264314381929,0.5740069449886716
14,13,,train,0.7185978961448264,0.6641894181577831,0.75650537,0.5767945047251573,0.5870078754474266,0.6428474481311064,0.5767945047251573
15,14,,train,0.718689691197073,0.6643392810277936,0.7531653,0.5782312223213016,0.5882657221847988,0.6378759791458436,0.5782312223213016
16,15,,train,0.720807534188193,0.6668787970907128,0.750066,0.5810971151544492,0.5915324217208968,0.6423783325703175,0.5810971151544492
17,15,,test,0.6872583500718499,0.6290360841017044,1.0362642,0.5531987669589451,0.5509605066663719,0.5694705782203753,0.5531987669589451
18,16,,train,0.7217167423247316,0.6679709866248714,0.74668777,0.5820180255325658,0.592256034005941,0.6283459550572231,0.5820180255325658
19,17,,train,0.722894778828564,0.6694255108171945,0.74331033,0.5843237166610767,0.5944569872740646,0.666202648187045,0.5843237166610767
20,18,,train,0.7229778314948824,0.6695337105781672,0.7412444,0.58585217322878,0.5954932953308465,0.6582034390726256,0.58585217322878
21,19,,train,0.7239241947716161,0.6706349243612841,0.73993886,0.585624747826835,0.5957389263772717,0.664407462481894,0.585624747826835
22,20,,train,0.7248268461187085,0.6717270278665742,0.73737186,0.5874532083663081,0.5980866715086628,0.6677131078473846,0.5874532083663081
23,20,,test,0.6862500694681518,0.629206739337079,1.0707668,0.5670397513785719,0.5628599491834965,0.5771287568303659,0.5670397513785719
24,21,,train,0.7246651119790357,0.6715646748716417,0.7353193,0.5883268688999975,0.599039553314255,0.6714047397242159,0.5883268688999975
25,22,,train,0.7256835999396776,0.6728101353726947,0.73332864,0.5899940508666932,0.6012296678459288,0.6732442807872919,0.5899940508666932
26,23,,train,0.726111976850162,0.6733577722938388,0.7317298,0.5907566693078323,0.6019488097767974,0.6810401988983782,0.5907566693078323
27,24,,train,0.7267807693736736,0.6741280879906864,0.73021764,0.5921579602304947,0.6037749125276648,0.679227066061011,0.5921579602304947
28,25,,train,0.7270146281972545,0.6744070726183071,0.72869897,0.5920721860662663,0.6044043852476721,0.6820079376359662,0.5920721860662663
29,25,,test,0.6886794699778496,0.6309948809823821,1.1395317,0.5617616971785702,0.5647292976651367,0.5939495042343561,0.5617616971785702
30,26,,train,0.7281773655257124,0.6758597423791322,0.72741646,0.5953968072310846,0.607877934405673,0.6897411907578964,0.5953968072310846
31,27,,train,0.7282779029638874,0.6759796668011153,0.7256395,0.5962672502521464,0.6087385190338626,0.6811216353376996,0.5962672502521464
32,28,,train,0.7285489169276633,0.676265792014201,0.7240546,0.5968546299964498,0.6099627242423811,0.6875598024332932,0.5968546299964498
33,29,,train,0.7294581250642019,0.6774190998671245,0.7224787,0.5991652073951109,0.6128156748418035,0.6902556785923797,0.5991652073951109
34,30,,train,0.7294187843275247,0.6773386405997117,0.7215703,0.5995913841640965,0.6137504726743251,0.6862847534602512,0.5995913841640965
35,30,,test,0.6871710186809784,0.6295795095644469,1.1708684,0.561334595603819,0.5651832285504279,0.5964505816040541,0.561334595603819
