,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id
20170102T111442_20170102T111441_T30UWU,5054.93721565059,35.663980241778255,3497.6344728974395,2528.8615624593785,4677.919407253348,4073.656830885221,4339.414402703758,4379.322890939816,4590.577668009878,4800.057454829064,4443.17041466268,4913.642142207203,1657.4420902118811,0.0,0.0,1024.0,2017-01-02,PTR,3685593
20170112T111421_20170112T111418_T30UWU,5976.966982971533,848.8243858052774,2082.936175744183,2151.10243078123,5782.477707006369,5107.187833095021,5483.516833484989,5652.949304562591,5853.250487456128,6019.1107500325,5753.195502404784,6087.108280254778,3530.593266606006,0.0,0.0,1024.0,2017-01-12,PTR,3685593
20170201T111301_20170201T111255_T30UWU,5644.0452359287665,21.97062264396205,2734.826465618095,1884.1319381255685,5210.965033147018,4524.841154296113,4718.610555050045,4656.603015728584,4757.302092811648,4922.7656310932025,4508.392174704277,4965.742103210711,1450.317431431171,0.0,0.0,1024.0,2017-02-01,PTR,3685593
20170211T111201_20170211T111640_T30UWU,5894.818146366826,126.4631483166515,3782.057324840765,2666.9093981541655,5592.535031847135,4888.821916027558,5297.159495645393,5546.647861692449,5707.619914207721,5838.866242038217,5760.76784089432,5910.226049655531,3628.9192772650463,0.0,0.0,1024.0,2017-02-11,PTR,3685593
20170221T111051_20170221T111235_T30UWU,5346.466138047577,51.57428831405174,2555.531132198102,1422.7681008709217,4940.80852723255,4323.929806317432,4472.487846093852,4483.306772390486,4658.308852203303,4834.421292083714,4505.149096581308,4882.501494865462,1544.2164305212539,0.0,0.0,1024.0,2017-02-21,PTR,3685593
20170303T110941_20170303T111724_T30UWU,2641.183803457689,687.4446899779022,2174.6912777849993,1544.7480826725596,2292.1498765111137,2085.6936175744186,1961.4653581177695,2325.863902248798,3533.1800337969594,4031.0484856362928,3886.3830755232034,4304.135317821397,1823.586247237749,0.0,0.0,2048.0,2017-03-03,PTR,3685593
20170313T110831_20170313T111212_T30UWU,1153.4011438970495,12.964903158715721,1444.776290133888,586.4840764331211,844.4123228909398,735.2862342389185,392.58234758871714,813.2338489535945,2958.4894059534645,3876.281944624985,3781.801377875991,4188.394254517094,1207.508124268816,0.0,0.0,0.0,2017-03-13,PTR,3685593
20170323T110721_20170323T111323_T30UWU,6498.515013648772,174.93448589626936,3681.6417522422985,2472.2335889769925,6414.988041076303,5793.4185623293915,6182.02300792929,6292.547510724037,6527.489015988562,6756.284674379305,6630.936305732486,6821.128168464838,3090.143897049265,0.0,0.0,1024.0,2017-03-23,PTR,3685593
20170402T110651_20170402T110647_T30UWU,3507.7703106720396,44.20980111789938,3353.374496295335,2544.1024307812304,3542.6017158455747,3231.5280124788774,3275.4263616274534,3487.4531392174713,4270.198882100612,4685.720135187835,4674.746522812948,4833.080982711556,1937.3790458858703,0.0,0.0,1024.0,2017-04-02,PTR,3685593
20170412T110621_20170412T111708_T30UWU,1190.1062004419607,14.809827115559603,2011.144027037567,988.7092161705448,938.2382685558301,958.6126348628624,679.8537631613156,1269.3239308462244,2850.1267385935275,3479.672169504745,3488.810867021969,3948.656310932017,1237.3096321331088,0.0,0.0,0.0,2017-04-12,PTR,3685593
