,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id,t
0,0,0,20180102T102421_20180102T102420_T32UPA,0.6514942558139539,0.0031134651162790703,0.4061823953488373,0.3032256511627908,0.6213402790697675,0.5462037674418606,0.6218303720930236,0.6459286511627906,0.6705095348837212,0.6957249069767444,0.6433838604651164,0.7100120697674418,0.2605684651162791,0.0,0.0,1024.0,2018-01-02,451,74526670,0.005479452054794521
1,1,1,20180104T101409_20180104T101403_T32UPA,0.5305916279069767,0.13709148837209303,0.24149651162790697,0.22840241860465121,0.49924060465116277,0.43535711627906987,0.47388358139534886,0.5006566511627908,0.5181939069767444,0.5301840465116282,0.5206471162790698,0.5411682325581396,0.37740567441860484,0.0,0.0,1024.0,2018-01-04,451,74526670,0.010958904109589041
2,2,2,20180107T102359_20180107T102401_T32UPA,0.523561604651163,0.02872793023255815,0.4063593953488373,0.3290643488372093,0.48393890697674435,0.4257434186046512,0.4741607441860466,0.4754581395348838,0.49397597674418614,0.5176276976744187,0.4770759767441862,0.532682023255814,0.16829758139534887,0.0,0.0,1024.0,2018-01-07,451,74526670,0.019178082191780823
3,3,3,20180109T101401_20180109T101536_T32UPA,0.32259765116279077,0.13459239534883727,0.19163651162790704,0.17500555813953492,0.27073444186046514,0.23376660465116283,0.24392162790697686,0.26504981395348853,0.2877344883720931,0.30218527906976755,0.28790809302325593,0.31397925581395364,0.2518934651162791,0.0,0.0,1024.0,2018-01-09,451,74526670,0.024657534246575342
4,4,4,20180112T102401_20180112T102630_T32UPA,0.6014144418604654,0.010246139534883725,0.3508948372093025,0.28380651162790704,0.5114189069767444,0.4385744651162792,0.4874818139534886,0.5143755813953489,0.535610604651163,0.5632495813953488,0.4851171395348839,0.5830379302325585,0.33470648837209316,0.0,0.0,1024.0,2018-01-12,451,74526670,0.03287671232876712
5,5,5,20180114T101349_20180114T101347_T32UPA,0.5226889767441862,0.017330418604651163,0.33967706976744194,0.27492893023255827,0.46855313953488376,0.3884507906976745,0.4120080000000001,0.4314966046511628,0.43922406976744205,0.4477097209302326,0.43424860465116294,0.45257809302325597,0.28396913953488384,0.0,0.0,1024.0,2018-01-14,451,74526670,0.038356164383561646
6,6,6,20180117T102339_20180117T102341_T32UPA,0.8295240697674421,0.46091034883720944,0.3451623953488373,0.3648983023255815,0.8120062790697677,0.7128054186046513,0.8012336744186048,0.8397988139534888,0.8541144651162793,0.8612263720930236,0.8651136744186047,0.8658539302325584,0.7473597674418607,0.0,0.0,1024.0,2018-01-17,451,74526670,0.04657534246575343
7,7,7,20180119T101331_20180119T101331_T32UPA,0.8405611860465116,0.08373113953488373,0.6000250232558142,0.5582609302325584,0.7582830000000002,0.6990176744186049,0.8133745581395351,0.8643522093023258,0.899734093023256,0.9317142325581398,0.8419402790697674,0.9508593953488377,0.5784590465116279,0.0,0.0,1024.0,2018-01-19,451,74526670,0.052054794520547946
8,8,8,20180122T102321_20180122T102323_T32UPA,0.6313268139534886,0.04768216279069768,0.27751160465116276,0.19962469767441868,0.5935168139534885,0.5173578604651163,0.5607735813953493,0.5703204186046512,0.5846057906976746,0.6018270930232561,0.5634009069767442,0.6084022093023258,0.25991446511627914,0.0,0.0,1024.0,2018-01-22,451,74526670,0.06027397260273973
9,9,9,20180124T101309_20180124T101352_T32UPA,0.8795286511627909,0.045571418604651165,0.6140554883720932,0.38680930232558147,0.8930315813953492,0.8293349767441862,0.9351154651162792,0.9350973255813957,0.9592577209302329,1.0186947906976744,0.9564372093023256,1.0480498139534886,0.2671201627906978,0.0,0.0,1024.0,2018-01-24,451,74526670,0.06575342465753424
10,10,10,20180127T102259_20180127T102314_T32UPA,0.49476276744186043,0.004659883720930233,0.43590623255813965,0.3721903488372094,0.46195879069767465,0.4102274418604651,0.44842444186046526,0.46385772093023264,0.4888078372093023,0.510251674418605,0.47904567441860463,0.5268223255813954,0.22349709302325593,0.0,0.0,1024.0,2018-01-27,451,74526670,0.07397260273972603
11,11,11,20180129T101251_20180129T101247_T32UPA,0.5920139534883723,0.008034441860465119,0.3028692558139535,0.20489723255813952,0.535971069767442,0.473128581395349,0.5018897906976745,0.5099161162790699,0.5189526279069769,0.5338424418604651,0.490430534883721,0.5421996046511628,0.22536390697674422,0.0,0.0,1024.0,2018-01-29,451,74526670,0.07945205479452055
12,12,12,20180201T102241_20180201T102237_T32UPA,0.7212075581395352,0.2535249302325581,0.25942465116279084,0.28768900000000014,0.694457069767442,0.6141435348837211,0.6745290232558141,0.7064499534883724,0.7167795116279072,0.7294759767441862,0.7217928837209304,0.7321882558139536,0.5962502325581397,0.0,0.0,1024.0,2018-02-01,451,74526670,0.08767123287671233
13,13,13,20180203T101219_20180203T101237_T32UPA,0.47224869767441874,0.013190860465116283,0.21455451162790698,0.15825695348837218,0.41223490697674425,0.3428022325581396,0.3527972093023257,0.3622774883720932,0.3692237906976744,0.3775717441860466,0.3540508837209303,0.38018653488372106,0.19415609302325587,0.0,0.0,1024.0,2018-02-03,451,74526670,0.09315068493150686
14,14,14,20180206T102209_20180206T102206_T32UPA,0.3399558139534884,0.03664044186046512,0.15178044186046516,0.1417798139534884,0.31570423255813973,0.27474174418604663,0.2876684883720931,0.30909120930232564,0.3461987441860465,0.36331853488372096,0.35247039534883723,0.3759764883720931,0.18384344186046514,0.0,0.0,1024.0,2018-02-06,451,74526670,0.10136986301369863
15,15,15,20180208T101151_20180208T101153_T32UPA,0.41214325581395356,0.0030100000000000005,0.3447155116279071,0.3216938604651163,0.3886928139534884,0.3395452790697676,0.3621404883720932,0.38237479069767455,0.4101562790697674,0.4277093255813954,0.4194448372093024,0.440176069767442,0.18991723255813958,0.0,0.0,1024.0,2018-02-08,451,74526670,0.10684931506849316
16,16,16,20180211T102141_20180211T102559_T32UPA,0.31971686046511627,0.02546244186046512,0.18516337209302328,0.12895367441860472,0.2859512790697674,0.24115404651162795,0.24818639534883724,0.26730281395348837,0.2967723255813953,0.31219476744186053,0.3007740697674419,0.3253338604651164,0.1419160930232559,0.0,0.0,1024.0,2018-02-11,451,74526670,0.11506849315068493
17,17,17,20180213T101119_20180213T101559_T32UPA,0.2146343488372093,0.00198093023255814,0.19838386046511633,0.12395820930232558,0.17774911627906978,0.1519786744186047,0.15418195348837216,0.19401009302325586,0.24848220930232565,0.27635937209302336,0.2837398139534884,0.3165407906976745,0.1456939767441861,0.0,0.0,0.0,2018-02-13,451,74526670,0.12054794520547946
18,18,18,20180216T102059_20180216T102601_T32UPA,0.6506501627906978,0.005961511627906977,0.46483772093023273,0.3442843255813954,0.6247101162790699,0.5602926511627907,0.6132593720930236,0.629413,0.644647162790698,0.6605627441860467,0.6391626976744188,0.6709750000000003,0.3218918372093023,0.0,0.0,1024.0,2018-02-16,451,74526670,0.12876712328767123
19,19,19,20180218T101051_20180218T101313_T32UPA,0.18049534883720933,0.0018425813953488366,0.21681020930232558,0.1272119534883721,0.14143904651162795,0.11889744186046511,0.12082604651162794,0.15955274418604654,0.20694062790697682,0.23547134883720938,0.2428159534883721,0.272087511627907,0.13253051162790697,0.0,0.0,0.0,2018-02-18,451,74526670,0.13424657534246576
20,20,20,20180221T102031_20180221T102033_T32UPA,0.16199879069767445,0.002347,0.24061313953488372,0.1562532325581396,0.13375000000000006,0.11741895348837207,0.12302700000000003,0.16000697674418618,0.20395518604651172,0.2286743255813953,0.23810558139534893,0.2634887674418605,0.15040295348837213,0.0,0.0,0.0,2018-02-21,451,74526670,0.14246575342465753
21,21,21,20180223T101019_20180223T101508_T32UPA,0.1686221162790698,0.0036849534883720936,0.305503558139535,0.21099104651162798,0.1377754651162791,0.11935334883720933,0.12757627906976746,0.16326004651162795,0.20753390697674431,0.23051046511627912,0.24317830232558155,0.26842941860465125,0.15255679069767444,0.0,0.0,0.0,2018-02-23,451,74526670,0.14794520547945206
22,22,22,20180226T102019_20180226T102050_T32UPA,0.1954958604651164,0.015096813953488374,0.17294081395348848,0.11674134883720934,0.16906948837209304,0.1362400465116279,0.14041760465116282,0.15598751162790697,0.1769553023255814,0.18560200000000002,0.19343367441860465,0.1991411627906977,0.13523818604651167,0.0,0.0,0.0,2018-02-26,451,74526670,0.15616438356164383
23,23,23,20180228T101021_20180228T101021_T32UPA,0.1809143488372093,0.004354302325581397,0.33626958139534885,0.24232260465116284,0.14841851162790703,0.1241588372093023,0.13757334883720934,0.17074651162790705,0.20860216279069774,0.23344541860465115,0.2449279302325581,0.26974990697674434,0.1685362790697675,0.0,0.0,0.0,2018-02-28,451,74526670,0.16164383561643836
